name,Control,H3.3 KD1,RefID
Dlgap4,K4,K4,NM_001042488
Tmem183a,K4,K4,NM_001042485
Golga7,K4,K4,NM_001042484
Dlgap4,K4,K4,NM_001042487
Gabre,K4,K4,NM_017369
Amt,K4,K4,NM_001013814
Ptk7,K4,K4,NM_175168
Smad5,K4,K4,NM_008541
Fam169b,K4,K4,NM_001013811
6330549D23Rik,K4,K4,NR_003619
Polr2k,K4,K4,NM_001039368
Zfp568,K4,K4,NM_001033355
Mobp,K4,K4,NM_001039364
Mobp,K4,K4,NM_001039365
Ntn5,K4,K4,NM_001033356
Sct,K4,K4,NM_011328
Scn8a,K4,K4,NM_011323
Scnn1a,K4,K4,NM_011324
Scnn1b,K4,K4,NM_011325
Scnn1g,K4,K4,NM_011326
Scp2,K4,K4,NM_011327
Ddx20,K4,K4,NM_017397
Clpp,K4,K4,NM_017393
Slc5a3,K4,K4,NM_017391
Rprd1a,K4,K4,NM_144861
Ryr1,K4,K4,NM_009109
Rsu1,K4,K4,NM_009105
Rrm2,K4,K4,NM_009104
Rxrg,K4,K4,NM_009107
Rtkn,K4,K4,NM_009106
Rras,K4,K4,NM_009101
Rrm1,K4,K4,NM_009103
Neu4,K4,K4,NM_173772
Cuta,K4,K4,NM_026948
Cnot8,K4,K4,NM_026949
Eci3,K4,K4,NM_026947
Alkbh3,K4,K4,NM_026944
Stoml1,K4,K4,NM_026942
Snrpd2,K4,K4,NM_026943
Ydjc,K4,K4,NM_026940
Gimap9,K4,K4,NM_174960
Rangap1,K4,K4,NM_001146174
Atl2,K4,K4,NM_178050
Mterf4,K4,K4,NM_178051
Ddx59,K4,K4,NM_178052
Nags,K4,K4,NM_178053
Dnajb2,K4,K4,NM_178055
Tm2d3,K4,K4,NM_178056
Cabp1,K4,K4,NM_013879
Aifm2,K4,K4,NM_178058
Hnrnpu,K4,K4,NM_016805
Hnrnpa2b1,K4,K4,NM_016806
Sdcbp,K4,K4,NM_016807
Pmm1,K4,K4,NM_013872
Stx1a,K4,K4,NM_016801
Rhoa,K4,K4,NM_016802
Chst3,K4,K4,NM_016803
Reep2,K4,K4,NM_144865
Keap1,K4,K4,NM_001110307
Zfp869,K4,K4,NM_001039967
Akp3,K4,K4,NM_007432
Alpl,K4,K4,NM_007431
Nr0b1,K4,K4,NM_007430
Aldh3a2,K4,K4,NM_007437
Abcd1,K4,K4,NM_007435
Aldoa,K4,K4,NM_007438
Lage3,K4,K4,NM_025410
Pycrl,K4,K4,NM_025412
Cks2,K4,K4,NM_025415
Myo19,K4,K4,NM_025414
Commd4,K4,K4,NM_025417
1110059G10Rik,K4,K4,NM_025419
Vta1,K4,K4,NM_025418
Polr3d,K4,K4,NM_001164082
Timeless,K4,K4,NM_001164080
Timeless,K4,K4,NM_001164081
Cops7a,K4,K4,NM_001164089
Ankrd36,K4,,NM_023816
Trp53rkb,K4,K4,NM_023815
Rbm47,K4,K4,NM_001127382
Rps27a,K4,K4,NM_001033865
Col18a1,K4,K4,NM_009929
Dynlt1a,K4,K4,NM_001166629
Tbc1d24,K4,K4,NM_173186
Cnp,K4,K4,NM_009923
Cnn1,K4,K4,NM_009922
Fmr1nb,K4,K4,NM_001166620
Col11a2,K4,K4,NM_009926
Phldb1,K4,K4,NM_153537
Rab5c,K4,K4,NM_024456
Rap1b,K4,K4,NM_024457
Rab21,K4,K4,NM_024454
Luzp1,K4,K4,NM_024452
Zfp280c,K4,K4,NM_153532
Sun1,K4,K4,NM_024451
Tns2,K4,K4,NM_153533
Ppp3r1,K4,K4,NM_024459
Polr3a,K4,K4,NM_001081247
Lsmem2,K4,K4,NM_001081244
Filip1,K4,,NM_001081243
Prmt9,K4,K4,NM_001081240
Ripor1,K4,K4,NM_001081241
Fyttd1,K4,K4,NM_027226
Glod5,K4,K4,NM_027227
Krtcap3,K4,K4,NM_027221
Mzb1,K4,K4,NM_027222
Ap2b1,K4,K4,NM_001035854
Pfkfb2,K4,K4,NR_027859
Clk1,K4,K4,NR_027854
Cd40,K4,K4,NR_027852
Clk1,K4,K4,NR_027853
9930012K11Rik,K4,K4,NM_001004155
Rragb,K4,K4,NM_001004154
Scarf1,K4,K4,NM_001004157
Plekhg5,K4,K4,NM_001004156
A4galt,K4,K4,NM_001004150
AU018091,K4,K4,NM_001004153
Ankrd24,K4,K4,NM_027480
Sugp1,K4,K4,NM_027481
Med26,K4,K4,NM_027485
Washc3,K4,K4,NM_027487
Arl13b,K4,K4,NM_026577
Etaa1,K4,K4,NM_026576
Ino80,K4,K4,NM_026574
Upf3b,K4,K4,NM_026573
Gcsh,K4,K4,NM_026572
Lhfpl5,K4,K4,NM_026571
Yeats4,K4,K4,NM_026570
D10Wsu102e,K4,K4,NM_026579
Gar1,K4,K4,NM_026578
Rassf7,K4,K4,NM_025886
Rab5a,K4,K4,NM_025887
Zfp830,K4,K4,NM_025884
Med19,K4,K4,NM_025885
Pole4,K4,K4,NM_025882
Zdhhc6,K4,K4,NM_025883
2410002F23Rik,K4,K4,NM_025880
Luc7l,K4,K4,NM_025881
Kctd20,K4,K4,NM_025888
Tmem134,K4,K4,NM_025889
Ccdc189,K4,K4,NM_001033040
Rnf17,K4,K4,NM_001033043
Mul1,K4,K4,NM_026689
Ndufs3,K4,K4,NM_026688
Tmem174,K4,,NM_026685
Ndufb10,K4,K4,NM_026684
Mettl26,K4,K4,NM_026686
Ccdc88c,K4,K4,NM_026681
Golt1a,K4,K4,NM_026680
Acbd6,K4,K4,NM_026683
Cpsf4l,K4,K4,NM_026682
Mamld1,K4,K4,NM_001081354
Foxr2,K4,K4,NM_001034894
Zfp936,K4,K4,NM_001034893
Dscc1,K4,K4,NM_183089
Zbed5,K4,K4,NM_183088
Prdm15,K4,K4,NM_144789
Hectd1,K4,K4,NM_144788
Sars2,K4,K4,NM_023637
Kdm4c,K4,K4,NM_144787
Ggt7,K4,K4,NM_144786
Ttc37,K4,K4,NM_001081352
Gm4535,K4,K4,NM_001101644
Rpp25,K4,K4,NM_133982
Slc6a8,K4,K4,NM_133987
Tcta,K4,K4,NM_133986
Hemk1,K4,K4,NM_133984
2610028E06Rik,K4,K4,NR_015560
Miox,K4,K4,NM_019977
4732471J01Rik,K4,K4,NR_015569
Zfp623,K4,K4,NM_030199
Cdkl5,K4,K4,NM_001024624
Zfp873,K4,K4,NM_001024626
Ssbp1,K4,K4,NM_028358
Ndc1,K4,K4,NM_028355
Tdp1,K4,K4,NM_028354
Zbtb25,K4,K4,NM_028356
Pgm3,K4,K4,NM_028352
Prr11,K4,K4,NM_175563
Rab39,K4,K4,NM_175562
Pcnx2,K4,K4,NM_175561
Zfp747,K4,K4,NM_175560
4930404N11Rik,K4,K4,NM_001014836
Son,K4,K4,NM_019973
Col6a6,K4,K4,NM_001102607
Rapgef1,K4,K4,NM_001039086
C030034I22Rik,K4,K4,NR_026848
Seh1l,K4,K4,NM_001039088
Ankrd37,K4,K4,NM_001039562
Sh3bp2,K4,K4,NM_001145859
Syf2,K4,K4,NM_026780
Rap1gap2,K4,K4,NM_001015046
Mthfd2l,K4,K4,NM_026788
Cfap57,K4,K4,NM_026789
5330413P13Rik,K4,K4,NR_029381
Cdkn1b,K4,K4,NM_009875
Cdk7,K4,K4,NM_009874
Peg13,K4,,NR_002864
Rnu11,K4,K4,NR_002865
Zbtb12,K4,K4,NM_198886
Rbfa,K4,K4,NM_199197
Zbtb11,K4,K4,NM_173026
Phka1,K4,K4,NM_173021
BC048403,K4,K4,NM_173022
Zfp512,K4,K4,NM_172993
Phtf2,K4,K4,NM_172992
Rbm48,K4,K4,NM_172991
Rnft2,K4,K4,NM_172998
Tubgcp4,K4,K4,NM_153387
Clrn1,K4,,NM_153386
Clrn1,K4,,NM_153385
